id,name,archived,payerId,createdAt,updatedAt
11565,Cigna Behavioral Health ,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11566,Cigna for Health Care ,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11567,Cigna Great West,f,80705,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11568,Cigna Health Plan - Atlanta ,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11569,Cigna Health Plan - Chicago,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11570,Cigna Health Plan - Cigna Premier Plus,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11571,Cigna Health Plan - Cincinnati ,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11572,Cigna Health Plan - Cleveland,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11573,Cigna Health Plan - Columbus,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11574,Cigna Health Plan - COMED,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11575,Cigna Health Plan - Connecticut,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11576,Cigna Health Plan - Dallas,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11577,Cigna Health Plan - Dayton,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11578,Cigna Health Plan - Delaware,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11579,Cigna Health Plan - Denver,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11580,Cigna Health Plan - Georgia,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11581,Cigna Health Plan - HMO ,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11582,Cigna Health Plan - HMO (CHP),f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11583,Cigna Health Plan - Houston,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11584,Cigna Health Plan - Kansas City,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11585,Cigna Health Plan - Knoxville PPO,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11586,Cigna Health Plan - Los Angeles,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11587,Cigna Health Plan - Louisiana,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11588,Cigna Health Plan - Massachusetts,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11589,Cigna Health Plan - Memphis,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11590,Cigna Health Plan - Mid Atlantic,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11591,Cigna Health Plan - Nashville,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11592,Cigna Health Plan - New York,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11593,Cigna Health Plan - Northern California,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11594,Cigna Health Plan - Northern Louisiana,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11595,Cigna Health Plan - Oklahoma,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11596,Cigna Health Plan - Orlando,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11597,Cigna Health Plan - Phoenix,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11598,Cigna Health Plan - Raleigh,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11599,Cigna Health Plan - Richmond,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11600,Cigna Health Plan - Salinas,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11601,Cigna Health Plan - Salt Lake City,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11602,Cigna Health Plan - San Francisco,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11603,Cigna Health Plan - Southern California,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11604,Cigna Health Plan - Southern Florida,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11605,Cigna Health Plan - St. Louis,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11606,Cigna Health Plan - Tucson,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11607,Cigna Health Plan - Tulsa,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11608,Cigna Health Plan - Washington,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11609,Cigna Health Plan of California,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11610,Cigna Health Plan of Charlotte,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11611,Cigna Health Plan of Northern New Jersey,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11612,Cigna Health Plan of Pennsylvania,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11613,Cigna Health Plan of San Diego,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11614,Cigna Health Plan of Southern New Jersey,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11615,Cigna Health Plan of St. Louis ,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11616,Cigna Health Plan of Tampa,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11617,Cigna Health Plan of Wichita,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11618,Cigna Health Plans,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11619,Cigna International Expatriate Benefits,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11620,Cigna PPO,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11621,Cigna Select (formerly Great West Healthcare),f,80705,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11622,Cigna-Healthspring,f,52192,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11623,City of Chester,f,56205,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11624,Claimedix,f,74048,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11625,Clark County Self Funded NV,f,23223,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11626,"Colorado Access (Denver, CO) ",f,84129,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11627,Community Connect HealthPlan,f,SB950,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11628,Community Health Electronic Claims/CHEC/webTPA,f,75261,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11629,Community Health Group,f,Z1700,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11630,Community Health Plan of DE,f,87726,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11631,Community Health Plan of PA ,f,87726,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11632,Community Health Plan of Washington,f,CMTWA,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11633,Community Preferred Health Plan,f,39026,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11634,Companion Healthcare,f,SB884,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11635,Comprehensive Benefits Administrator Inc,f,3036,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11636,Concentrix Insurance Solutions,f,Z95754,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11637,Connecticare - Medicare,f,78375,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11638,Connecticare - Medicare (CCI VIP Medicare Advantage),f,78375,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11639,ConnectiCare Inc,f,6105,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11640,Connecticut General (Cigna),f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11641,CONNECTICUT GENERAL LIFE INSURANCE COMPANY,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11642,CONSOLIDATION COAL COMPANY,f,3036,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11643,Consumers Life Insurance Company,f,SX057,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11644,Continental General Insurance Company - Medicare Supplement,f,13193,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11645,Cook Children's Health Plan,f,CCHP1,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11646,Cook Children's Star Plan,f,CCHP9,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11647,Cooportunity Health,f,SX009,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11648,CoreSource (Little Rock),f,75136,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11649,CoreSource (OH),f,35183,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11650,"CoreSource (PA, MD, IL, NC, IN, AZ, MN) ",f,35182,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11651,Coresource of NC,f,35182,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11652,Coresource of PA MD IL,f,35182,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11653,Corporate Benefit Services of America,f,41124,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11654,Cottage Health System,f,35182,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11655,County Care,f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11656,County Care - Medical,f,42139,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11657,Coventry Cares of Michigan,f,128MI,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11658,Coventry Health Care National Network (First Health Direct),f,87043,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11659,Coventry Health Care of Louisiana Inc,f,25135,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11660,Coventry Healthcare National Network,f,87043,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11661,Coventry Healthcare of Florida- Long term healthcare only,f,128FL,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11662,CoventryCares of Pennsylvania,f,23228,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11663,Crown Life,f,80705,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11664,Dean Health Plan,f,39113,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11665,Definity Health,f,87726,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11666,Definity Health (UnitedHealthcare),f,87726,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11667,Dell Children's Health Plan,f,74272,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11668,Denver Health Medical Plan,f,84135,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11669,Deseret Protect,f,39026,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11670,Driscoll Childrens Health Plan,f,DCHCH,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11671,Durable Medical Equipment [.DME] - Medicaid Louisiana,f,Z1050,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11672,EASTER SEALS BAY AREA,f,KS003,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11673,Eastern Oregon (ORCAID CCO),f,13350,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11674,Eau Claire Health Protection Plan,f,39026,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11675,Eau Claire Providers Choice,f,39026,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11676,EDS Admin Services,f,22521,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11677,EGID (Employees Group Insurance Division),f,22521,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11678,EHC,f,79480,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11679,Elder Health Mid-Atlantic Inc,f,52192,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11680,Elderplan,f,31625,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11681,Emblem Health,f,13551,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11682,Emblem HMO,f,25531,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11683,"EMPIRE HEALTHCHOICE ASSURANCE, INC. ",f,SB803,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11684,Empire Plan,f,87726,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11685,Employee Benefit Consultants,f,37257,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11686,Employee Benefit Management Corp,f,Z0011,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11687,Employee Benefits Plan Administration Inc (EBPA),f,3036,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11688,Employers Insurance of Wausau,f,39026,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11689,Equicor ,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11690,Equicor Health Plan - Houston,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11691,Equicor PPO,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11692,Equicor/Equitable,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11693,Equitable (CIGNA),f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11694,Erin Group Administrators (EGA),f,23250,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11695,Essence Healthcare,f,20818,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11696,Evercare,f,87726,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11697,Every Woman Counts,f,SKCA0,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11698,Excellus BCBS NY Central Syracuse,f,SB805,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11699,Excellus BCBS NY Rochester,f,SB804,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11700,Excellus BCBS NY Utica-Watertown,f,SB806,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11701,ExclusiCare,f,71412,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11702,Fallon Community Health Plan,f,SX072,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11703,Family Health Plus,f,13334,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11704,Family P.A.C.T.,f,SKCA0,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11705,Fidelis Care New York,f,11315,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11706,Fidelis SecureLife Medicare-Medicaid Plan (MMP),f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11707,First Carolina Care,f,56196,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11708,FIRST HEALTH,f,87043,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11709,First Seniority Freedom Premier,f,87726,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11710,FirstHealth Network,f,87043,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11711,Fiserv Health - Wausau Benefits/Benesight,f,39026,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11712,Fiserv Health Wausau,f,39026,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11713,Florida Healthcare Plan,f,59322,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11714,Freedom Blue,f,15460,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11715,Gateway Health Plan - Medicare Assured,f,60550,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11716,Gateway Health Plan Medicaid PA,f,25169,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11717,"Gateway Health Plan of Ohio, Inc. ",f,60550,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11718,GEHA UHC Integrated VA,f,39026,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11719,Geisinger Health Plan,f,75273,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11720,General American Life of St. Louis,f,80705,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11721,GEOBLUE,f,54763,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11722,Gerber Life Medicare Supplement,f,71412,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11723,GH Basic Health Plan,f,91051,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11724,GH Individual and Family Plan,f,91051,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11725,GHC - Commercial,f,91051,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11726,GHC Individual Plans,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11727,GHC Medicare + Choice,f,91051,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11728,GHI HMO,f,25531,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11729,GIC Indemnity Plan,f,80314,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11730,Gilsbar Inc,f,7205,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11731,Government Employees Hospital Association (GEHA) (Not VA),f,44054,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11732,Great American Life Ins Co,f,13193,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11733,Great American Life Ins Co- Medicare Supplement,f,13193,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11734,Great West HealthCare,f,80705,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11735,Greater La Crosse Care 65+,f,39026,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11736,Greater Wisconsin Rapids Provider Choice,f,39026,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11737,Green Bay Health Protection Plan,f,39026,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11738,Group and Pension Administrators,f,48143,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11739,Group Health Cooperative - East,f,91051,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11740,Group Health Cooperative - West,f,91051,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11741,Group Health Insurance (GHI) of NY,f,13551,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11742,Group Health Options,f,91051,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11743,"Group Health Options, Incorporated Alliant Plus ",f,91051,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11744,Group Practice Affiliates,f,68068,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11745,HAP Midwest Health Plan - MI,f,MHP77,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11746,Harken Health,f,43313,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11747,Harken Health ,f,87726,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11748,Harmony Healthplan,f,14163,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11749,Harrington Benefit Services Inc (Formerly Centra,f,39026,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11750,Harrington Benefit Services Inc/ UMR,f,79480,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11751,Harvard Pilgrim Health Care,f,4271,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11752,Harvard Pilgrim Health Care (HPHC) - Student Insurance,f,74227,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11753,Hawaii HMSA,f,SB971,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11754,Hawaii Medical Services Association,f,SB971,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11755,HCA,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11756,HCA Cigna,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11757,HCH Administration,f,77950,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11758,Health Alliance Medical Plans of Illinois,f,77950,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11759,Health Alliance Plan of Michigan,f,38224,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11760,Health First Health Plans - National,f,95019,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11761,"Health Future, LLC (AMC) ",f,246,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11762,Health Insurance Plan of Greater NY (HIP),f,55247,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11763,Health Net of Arizona,f,38309,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11764,Health Net of California and Oregon,f,95567,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11765,"Health Net of California and Oregon (Individual MA HMO, SNP, and IFP) ",f,68069,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11766,Health New England,f,4286,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11767,Health Options of Florida,f,SB590,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11768,Health Options Program/HOP,f,35182,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11769,Health Partners - Minnesota,f,SX009,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11770,Health Partners South East,f,63092,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11771,"Health Partners, PA ",f,80142,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11772,Health Plan of Nevada,f,76342,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11773,Health Plan of San Joaquin,f,68035,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11774,Health Plan of San Mateo (CA Medicaid MCO),f,HPSM1,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11775,Health Plus Physicians Network,f,27514,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11776,Health Republic Insurance (OR),f,4498,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11777,"Health Spring, Inc ",f,63092,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11778,Healthchoice of AZ,f,62179,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11779,Healthcomp Inc.,f,85729,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11780,Healthease wellcare,f,14163,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11781,HealthEZ,f,41178,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11782,Healthfirst 65 Plus,f,80141,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11783,Healthfirst Family health Plus (FHP),f,80141,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11784,Healthfirst Health Plan of New Jersey,f,80141,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11785,HealthFirst of New York,f,80141,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11786,Healthfirst PHSP,f,80141,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11787,Healthgram Inc,f,56144,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11788,Healthgram Inc (formerly known as Primary PhysicianCare Inc),f,56144,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11789,"Healthsmart Benefit Solutions, Inc. ",f,37283,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11790,"HealthSource , AR ",f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11791,HealthSource of Arkansas (Medicare),f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11792,HealthSource of Indiana,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11793,HealthSource of Kentucky,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11794,HealthSource of Maine,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11795,HealthSource of Massachusetts,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11796,HealthSource of New Hampshire,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11797,HealthSource of New York,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11798,HealthSource of North Carolina,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11799,HealthSource of North Texas,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11800,HealthSource of Ohio,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11801,HealthSource of South Carolina,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11802,HealthSource of Tennessee,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11803,HealthSource Provident,f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11804,"HealthSource, GA ",f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
11805,"HealthSource, IN ",f,62308,2018-10-09 20:08:18.526401+00,2018-10-09 20:08:19.941296+00
